trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,5.335999966,1,0,100,99,1,99,i48_100.jpg,s,100,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
s,1,2.427000046,1,0,100,40,1,99,i19_0.jpg,s,0,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,8.392999887,1,0,100,57,1,99,i26_150_R.jpg,d,150,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
s,1,4.915999889,1,0,100,63,1,99,i29_50.jpg,s,50,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,5.414000034,1,0,100,10,1,99,i5_50_R.jpg,d,50,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,7.378999949,1,0,100,46,1,99,i21_150_R.jpg,d,150,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,4.905999899,1,0,100,25,1,99,i12_50_R.jpg,d,50,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
s,1,5.394000053,1,0,100,4,1,99,i2_100.jpg,s,100,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,2.960000038,1,0,100,39,1,99,i18_150_R.jpg,d,150,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,0,4.892999887,1,0,100,13,1,99,i6_100.jpg,s,100,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
s,1,3.440000057,1,0,100,26,1,99,i12_100.jpg,s,100,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,5.409999847,1,0,100,89,1,99,i41_100_R.jpg,d,100,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,9.366000175,1,0,100,87,1,99,i40_100_R.jpg,d,100,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,5.402000189,1,0,100,19,1,99,i9_50_R.jpg,d,50,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,0.004999876,1,0,100,69,1,99,i32_100_R.jpg,d,100,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
d,1,12.29699993,1,0,100,21,1,99,i10_50_R.jpg,d,50,Cc01,001,2019-10-16_10h07.35.155,MentalRotationFinal,3.1.2,60
