trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,8.038000107,1,0,100,93,1,99,i43_100_R.jpg,d,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,2.302999973,1,0,100,54,1,99,i25_50.jpg,s,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,5.073999882,1,0,100,22,1,99,i10_100.jpg,s,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,5.192000151,1,0,100,1,1,99,i1_50_R.jpg,d,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,7.423000097,1,0,100,42,1,99,i19_150_R.jpg,d,150,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,4.273999929,1,0,100,52,1,99,i24_150_R.jpg,d,150,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,8.741999865,1,0,100,14,1,99,i7_50_R.jpg,d,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,12.15900016,1,0,100,67,1,99,i31_100_R.jpg,d,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,5.672999859,1,0,100,99,1,99,i48_100.jpg,s,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,13.7249999,1,0,100,79,1,99,i36_150.jpg,s,150,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,8.188000202,1,0,100,5,1,99,i3_50_R.jpg,d,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,4.674000025,1,0,100,75,1,99,i35_0.jpg,s,0,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,11.84299994,1,0,100,81,1,99,i37_150.jpg,s,150,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,14.71099997,1,0,100,66,1,99,i30_150.jpg,s,150,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,8.242000103,1,0,100,39,1,99,i18_150_R.jpg,d,150,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,13.37800002,1,0,100,69,1,99,i32_100_R.jpg,d,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,5.992000103,1,0,100,91,1,99,i42_100_R.jpg,d,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,13.52799988,1,0,100,73,1,99,i34_100_R.jpg,d,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,3.690999985,1,0,100,4,1,99,i2_100.jpg,s,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,4.491000175,1,0,100,0,1,99,i1_0.jpg,s,0,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,10.67700005,1,0,100,59,1,99,i27_150_R.jpg,d,150,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,7.507999897,1,0,100,30,1,99,i14_50_R.jpg,d,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,4.72300005,1,0,100,6,1,99,i3_100.jpg,s,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
d,1,10.81000018,1,0,100,87,1,99,i40_100_R.jpg,d,100,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,2.154999971,1,0,100,34,1,99,i16_50.jpg,s,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,2.907999992,1,0,100,41,1,99,i19_50.jpg,s,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
s,1,1.789999962,1,0,100,45,1,99,i21_50.jpg,s,50,pr27,001,2019-10-16_10h06.55.109,MentalRotationFinal,3.1.2,60
