trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,3.013000011,1,0,100,30,1,99,i14_50_R.jpg,d,50,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
d,1,2.631000042,1,0,100,16,1,99,i8_50_R.jpg,d,50,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
d,1,6.590999842,1,0,100,5,1,99,i3_50_R.jpg,d,50,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,0,2.652000189,1,0,100,44,1,99,i20_150_R.jpg,d,150,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,3.802000046,1,0,100,60,1,99,i28_50.jpg,s,50,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,2.819000006,1,0,100,4,1,99,i2_100.jpg,s,100,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
d,1,2.980999947,1,0,100,95,1,99,i44_100_R.jpg,d,100,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,2.667000055,1,0,100,88,1,99,i40_150.jpg,s,150,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
d,1,2.476000071,1,0,100,28,1,99,i13_150_R.jpg,d,150,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,3.555999994,1,0,100,62,1,99,i29_0.jpg,s,0,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
d,1,2.664999962,1,0,100,7,1,99,i4_50_R.jpg,d,50,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,2.776000023,1,0,100,99,1,99,i48_100.jpg,s,100,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,1.993999958,1,0,100,41,1,99,i19_50.jpg,s,50,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,1.746000051,1,0,100,86,1,99,i39_150.jpg,s,150,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,1.463000059,1,0,100,18,1,99,i9_0.jpg,s,0,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,0,2.344000101,1,0,100,55,1,99,i25_150_R.jpg,d,150,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
s,1,3.532000065,1,0,100,90,1,99,i41_150.jpg,s,150,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
d,1,2.434000015,1,0,100,46,1,99,i21_150_R.jpg,d,150,SK36,001,2019-10-16_10h06.46.723,MentalRotationFinal,3.1.2,60
