trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,0,2.41899991,1,0,100,8,1,99,i4_100.jpg,s,100,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,0,3.88499999,1,0,100,35,1,99,i16_150_R.jpg,d,150,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,1.648000002,1,0,100,0,1,99,i1_0.jpg,s,0,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,9.469000101,1,0,100,84,1,99,i39_0.jpg,s,0,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,2.98300004,1,0,100,63,1,99,i29_50.jpg,s,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,2.233999968,1,0,100,31,1,99,i14_150_R.jpg,d,150,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,2.11500001,1,0,100,3,1,99,i2_50_R.jpg,d,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,2.450999975,1,0,100,27,1,99,i13_50_R.jpg,d,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,4.016000032,1,0,100,10,1,99,i5_50_R.jpg,d,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,2.099000216,1,0,100,1,1,99,i1_50_R.jpg,d,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,6.686000109,1,0,100,6,1,99,i3_100.jpg,s,100,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,3.332999945,1,0,100,60,1,99,i28_50.jpg,s,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,3.61500001,1,0,100,95,1,99,i44_100_R.jpg,d,100,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,4.063000202,1,0,100,45,1,99,i21_50.jpg,s,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,1.616999865,1,0,100,34,1,99,i16_50.jpg,s,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,0,3.217999935,1,0,100,54,1,99,i25_50.jpg,s,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,7.766000032,1,0,100,7,1,99,i4_50_R.jpg,d,50,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,0,4.565999985,1,0,100,78,1,99,i36_100_R.jpg,d,100,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
s,1,9.414999962,1,0,100,64,1,99,i29_150.jpg,s,150,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
d,1,3.131999969,1,0,100,82,1,99,i38_100_R.jpg,d,100,kc10,001,2019-10-16_10h07.21.070,MentalRotationFinal,3.1.2,60
