trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,7.104000092,1,0,100,99,1,99,i48_100.jpg,s,100,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
d,1,7.457000017,1,0,100,48,1,99,i22_150_R.jpg,d,150,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,8.25999999,1,0,100,15,1,99,i7_100.jpg,s,100,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,8.842000008,1,0,100,63,1,99,i29_50.jpg,s,50,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
d,1,8.291000128,1,0,100,33,1,99,i15_150_R.jpg,d,150,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,5.976000071,1,0,100,20,1,99,i9_100.jpg,s,100,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,8.890999794,1,0,100,90,1,99,i41_150.jpg,s,150,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,8.326000214,1,0,100,70,1,99,i32_150.jpg,s,150,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,19.5150001,1,0,100,66,1,99,i30_150.jpg,s,150,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,16.37900019,1,0,100,54,1,99,i25_50.jpg,s,50,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,27.40499997,1,0,100,79,1,99,i36_150.jpg,s,150,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,7.425000191,1,0,100,9,1,99,i5_0.jpg,s,0,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
s,1,10.41199994,1,0,100,61,1,99,i28_150.jpg,s,150,ml98,001,2019-10-16_10h06.48.933,MentalRotationFinal,3.1.2,60
