trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,4.126999855,1,0,100,6,1,99,i3_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,2.500999928,1,0,100,71,1,99,i33_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,11.06900001,1,0,100,66,1,99,i30_150.jpg,s,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,2.434000015,1,0,100,47,1,99,i22_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,7.95299983,1,0,100,16,1,99,i8_50_R.jpg,d,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,2.98300004,1,0,100,26,1,99,i12_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,3.718000174,1,0,100,1,1,99,i1_50_R.jpg,d,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.382999897,1,0,100,76,1,99,i35_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.166000128,1,0,100,97,1,99,i46_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.115999937,1,0,100,42,1,99,i19_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.100000143,1,0,100,74,1,99,i34_150.jpg,s,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.131999969,1,0,100,83,1,99,i38_150.jpg,s,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.063999891,1,0,100,2,1,99,i1_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.132999897,1,0,100,85,1,99,i39_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.082999945,1,0,100,43,1,99,i20_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.115999937,1,0,100,40,1,99,i19_0.jpg,s,0,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.083000183,1,0,100,23,1,99,i11_50_R.jpg,d,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.115999937,1,0,100,33,1,99,i15_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.098999977,1,0,100,35,1,99,i16_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.11500001,1,0,100,9,1,99,i5_0.jpg,s,0,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.097999811,1,0,100,45,1,99,i21_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.131000042,1,0,100,18,1,99,i9_0.jpg,s,0,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.066000223,1,0,100,11,1,99,i5_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.148999929,1,0,100,28,1,99,i13_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.098999977,1,0,100,50,1,99,i23_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.117000103,1,0,100,54,1,99,i25_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.124000072,1,0,100,15,1,99,i7_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.118999958,1,0,100,62,1,99,i29_0.jpg,s,0,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.098999977,1,0,100,81,1,99,i37_150.jpg,s,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.130999804,1,0,100,99,1,99,i48_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.098999977,1,0,100,93,1,99,i43_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.11500001,1,0,100,39,1,99,i18_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.098999977,1,0,100,82,1,99,i38_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.118000031,1,0,100,5,1,99,i3_50_R.jpg,d,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.101999998,1,0,100,90,1,99,i41_150.jpg,s,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.135000229,1,0,100,58,1,99,i27_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.098999977,1,0,100,36,1,99,i17_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.11500001,1,0,100,57,1,99,i26_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.065000057,1,0,100,7,1,99,i4_50_R.jpg,d,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.149000168,1,0,100,53,1,99,i25_0.jpg,s,0,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.065999985,1,0,100,63,1,99,i29_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.11500001,1,0,100,88,1,99,i40_150.jpg,s,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.115999937,1,0,100,17,1,99,i8_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.098999977,1,0,100,38,1,99,i18_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.099999905,1,0,100,31,1,99,i14_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.114999771,1,0,100,29,1,99,i14_0.jpg,s,0,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.065000057,1,0,100,12,1,99,i6_50_R.jpg,d,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.148999929,1,0,100,67,1,99,i31_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.068000078,1,0,100,27,1,99,i13_50_R.jpg,d,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.148000002,1,0,100,49,1,99,i23_50.jpg,s,50,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.088000059,1,0,100,94,1,99,i44_0.jpg,s,0,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.114000082,1,0,100,80,1,99,i37_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,0,0.09800005,1,0,100,22,1,99,i10_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,0,0.11500001,1,0,100,37,1,99,i17_150_R.jpg,d,150,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
d,1,0.09800005,1,0,100,89,1,99,i41_100_R.jpg,d,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
s,1,0.132999897,1,0,100,4,1,99,i2_100.jpg,s,100,todd,001,2019-10-16_09h19.14.626,MentalRotationFinal,3.1.2,60
