trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,18.8269999,1,0,100,24,1,99,i11_100.jpg,s,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,15.01699996,1,0,100,79,1,99,i36_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,5.863999844,1,0,100,59,1,99,i27_150_R.jpg,d,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,12.38700008,1,0,100,21,1,99,i10_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,13.7980001,1,0,100,83,1,99,i38_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,10.98399997,1,0,100,63,1,99,i29_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,4.400000095,1,0,100,42,1,99,i19_150_R.jpg,d,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,3.970000029,1,0,100,23,1,99,i11_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,5.734999895,1,0,100,38,1,99,i18_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,11.11899996,1,0,100,6,1,99,i3_100.jpg,s,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,5.732999802,1,0,100,34,1,99,i16_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,3.750999928,1,0,100,14,1,99,i7_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,6.069000006,1,0,100,51,1,99,i24_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,3.321000099,1,0,100,0,1,99,i1_0.jpg,s,0,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,2.842000008,1,0,100,29,1,99,i14_0.jpg,s,0,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,8.235000134,1,0,100,92,1,99,i42_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,10.66799998,1,0,100,17,1,99,i8_100.jpg,s,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,0,3.513999939,1,0,100,54,1,99,i25_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,0,3.883000135,1,0,100,66,1,99,i30_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,5.284000158,1,0,100,99,1,99,i48_100.jpg,s,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,2.53399992,1,0,100,40,1,99,i19_0.jpg,s,0,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,0,1.600000143,1,0,100,97,1,99,i46_100.jpg,s,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,3.516000032,1,0,100,91,1,99,i42_100_R.jpg,d,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,6.598999977,1,0,100,58,1,99,i27_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,2.697999954,1,0,100,67,1,99,i31_100_R.jpg,d,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,1.718000174,1,0,100,7,1,99,i4_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,0,3.148999929,1,0,100,19,1,99,i9_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,4.052999973,1,0,100,12,1,99,i6_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,4.001000166,1,0,100,2,1,99,i1_100.jpg,s,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,3.116000175,1,0,100,89,1,99,i41_100_R.jpg,d,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,2.300000191,1,0,100,18,1,99,i9_0.jpg,s,0,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,6.65199995,1,0,100,61,1,99,i28_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,0,2.463999987,1,0,100,70,1,99,i32_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,2.248999834,1,0,100,32,1,99,i15_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,4.238000154,1,0,100,37,1,99,i17_150_R.jpg,d,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,2.802000046,1,0,100,71,1,99,i33_100_R.jpg,d,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,3.01699996,1,0,100,53,1,99,i25_0.jpg,s,0,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,4.23300004,1,0,100,65,1,99,i30_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,5.703000069,1,0,100,64,1,99,i29_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,3.384000063,1,0,100,45,1,99,i21_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,10.28399992,1,0,100,78,1,99,i36_100_R.jpg,d,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,0,4.335000038,1,0,100,68,1,99,i31_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,4.286000013,1,0,100,72,1,99,i33_150.jpg,s,150,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
s,1,4.450999975,1,0,100,49,1,99,i23_50.jpg,s,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,3.407000065,1,0,100,95,1,99,i44_100_R.jpg,d,100,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
d,1,4.166999817,1,0,100,1,1,99,i1_50_R.jpg,d,50,abc123,001,2020-04-14_19h40.44.150,MentalRotationFinal,3.1.2,60
