trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,2.928999901,1,0,100,56,1,99,i26_50.jpg,s,50,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,1.448999882,1,0,100,23,1,99,i11_50_R.jpg,d,50,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,1.230000019,1,0,100,0,1,99,i1_0.jpg,s,0,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,1.400000095,1,0,100,65,1,99,i30_50.jpg,s,50,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,1.332999945,1,0,100,69,1,99,i32_100_R.jpg,d,100,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,1.230999947,1,0,100,33,1,99,i15_150_R.jpg,d,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,0.828000069,1,0,100,45,1,99,i21_50.jpg,s,50,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,0.715999842,1,0,100,87,1,99,i40_100_R.jpg,d,100,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,1.046999931,1,0,100,10,1,99,i5_50_R.jpg,d,50,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,0.717000008,1,0,100,86,1,99,i39_150.jpg,s,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,0.694000006,1,0,100,77,1,99,i35_150.jpg,s,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,0.61500001,1,0,100,44,1,99,i20_150_R.jpg,d,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,0.631999969,1,0,100,31,1,99,i14_150_R.jpg,d,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,0.710999966,1,0,100,52,1,99,i24_150_R.jpg,d,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,0.612999916,1,0,100,85,1,99,i39_100_R.jpg,d,100,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,0.531000137,1,0,100,66,1,99,i30_150.jpg,s,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,1.429000139,1,0,100,50,1,99,i23_150_R.jpg,d,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,0.714999914,1,0,100,92,1,99,i42_150.jpg,s,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,1.415999889,1,0,100,55,1,99,i25_150_R.jpg,d,150,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,1,0.714999914,1,0,100,97,1,99,i46_100.jpg,s,100,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
s,0,0.84800005,1,0,100,95,1,99,i44_100_R.jpg,d,100,cr2532,001,2020-04-14_10h13.32.078,MentalRotationFinal,3.1.2,60
