trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,7.671999931,1,0,100,77,1,99,i35_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,10.00699997,1,0,100,59,1,99,i27_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,3.664000034,1,0,100,84,1,99,i39_0.jpg,s,0,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,3.315999985,1,0,100,58,1,99,i27_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,2.448999882,1,0,100,60,1,99,i28_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,5.912999868,1,0,100,99,1,99,i48_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,1.733999968,1,0,100,45,1,99,i21_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,7.295000076,1,0,100,52,1,99,i24_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,7.377000093,1,0,100,76,1,99,i35_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,2.450000048,1,0,100,30,1,99,i14_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,4.298999786,1,0,100,48,1,99,i22_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,1.733999968,1,0,100,18,1,99,i9_0.jpg,s,0,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,7.792999983,1,0,100,91,1,99,i42_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,1.300000191,1,0,100,29,1,99,i14_0.jpg,s,0,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,2.249000072,1,0,100,25,1,99,i12_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,7.460999966,1,0,100,7,1,99,i4_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,4.131000042,1,0,100,22,1,99,i10_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,1.80099988,1,0,100,0,1,99,i1_0.jpg,s,0,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,4.46600008,1,0,100,15,1,99,i7_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,3.266000032,1,0,100,17,1,99,i8_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,8.774999857,1,0,100,72,1,99,i33_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,5.129999876,1,0,100,35,1,99,i16_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,6.111999989,1,0,100,8,1,99,i4_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,5.596000195,1,0,100,57,1,99,i26_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,13.01999998,1,0,100,63,1,99,i29_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,7.111000061,1,0,100,80,1,99,i37_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,5.893999815,1,0,100,12,1,99,i6_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,3.049999952,1,0,100,33,1,99,i15_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,4.682999849,1,0,100,46,1,99,i21_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,5.411000013,1,0,100,56,1,99,i26_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,5.913999796,1,0,100,44,1,99,i20_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,3.700999975,1,0,100,34,1,99,i16_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,1.618999958,1,0,100,1,1,99,i1_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,7.977999926,1,0,100,92,1,99,i42_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,2.583999872,1,0,100,49,1,99,i23_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,0,2.817000151,1,0,100,55,1,99,i25_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,2.099999905,1,0,100,47,1,99,i22_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,7.046000004,1,0,100,89,1,99,i41_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,4.829999924,1,0,100,14,1,99,i7_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,5.29700017,1,0,100,32,1,99,i15_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,5.929999828,1,0,100,83,1,99,i38_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,10.15699983,1,0,100,42,1,99,i19_150_R.jpg,d,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,9.49000001,1,0,100,67,1,99,i31_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,4.747999907,1,0,100,98,1,99,i47_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,20.977,1,0,100,68,1,99,i31_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,0,7.461999893,1,0,100,95,1,99,i44_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,3.049000025,1,0,100,70,1,99,i32_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,5.697000027,1,0,100,64,1,99,i29_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,0,6.796000004,1,0,100,11,1,99,i5_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,7.710000038,1,0,100,82,1,99,i38_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,2.399999857,1,0,100,65,1,99,i30_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,5.713000059,1,0,100,26,1,99,i12_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,0,8.110000134,1,0,100,6,1,99,i3_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,0,3.464999914,1,0,100,69,1,99,i32_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,2.734999895,1,0,100,96,1,99,i45_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,1.434999943,1,0,100,51,1,99,i24_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,4.798000097,1,0,100,16,1,99,i8_50_R.jpg,d,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,0,5.030999899,1,0,100,87,1,99,i40_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,4.782000065,1,0,100,20,1,99,i9_100.jpg,s,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,4.480000019,1,0,100,36,1,99,i17_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,1.585999966,1,0,100,41,1,99,i19_50.jpg,s,50,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,9.557999849,1,0,100,81,1,99,i37_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
d,1,3.582999945,1,0,100,73,1,99,i34_100_R.jpg,d,100,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
s,1,2.868000031,1,0,100,79,1,99,i36_150.jpg,s,150,mz1852,001,2020-04-14_10h14.12.618,MentalRotationFinal,3.1.2,60
