trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,13.89499998,1,0,100,79,1,99,i36_150.jpg,s,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,4.604000092,1,0,100,56,1,99,i26_50.jpg,s,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,5.699999809,1,0,100,38,1,99,i18_50.jpg,s,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,10.23699999,1,0,100,12,1,99,i6_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,8.15199995,1,0,100,25,1,99,i12_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,6.767999887,1,0,100,81,1,99,i37_150.jpg,s,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,4.365999937,1,0,100,64,1,99,i29_150.jpg,s,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,3.936999798,1,0,100,1,1,99,i1_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,9.052999973,1,0,100,58,1,99,i27_50.jpg,s,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,7.570000172,1,0,100,92,1,99,i42_150.jpg,s,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,4.118000031,1,0,100,2,1,99,i1_100.jpg,s,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,6.63499999,1,0,100,78,1,99,i36_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,0,2.601999998,1,0,100,95,1,99,i44_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,0,5.021999836,1,0,100,83,1,99,i38_150.jpg,s,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,4.171000004,1,0,100,9,1,99,i5_0.jpg,s,0,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,6.651000023,1,0,100,85,1,99,i39_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,5.638000011,1,0,100,96,1,99,i45_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,13.69900012,1,0,100,65,1,99,i30_50.jpg,s,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,12.75399995,1,0,100,89,1,99,i41_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,0,4.404000044,1,0,100,76,1,99,i35_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,5.483999968,1,0,100,80,1,99,i37_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,7.93599987,1,0,100,69,1,99,i32_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,4.703999996,1,0,100,48,1,99,i22_150_R.jpg,d,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,3.770999908,1,0,100,11,1,99,i5_100.jpg,s,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,0,8.036000013,1,0,100,68,1,99,i31_150.jpg,s,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,2.769999981,1,0,100,24,1,99,i11_100.jpg,s,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,3.77699995,1,0,100,98,1,99,i47_100.jpg,s,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,2.75999999,1,0,100,67,1,99,i31_100_R.jpg,d,100,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,1.269999981,1,0,100,41,1,99,i19_50.jpg,s,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,6.710000038,1,0,100,28,1,99,i13_150_R.jpg,d,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,3.003999949,1,0,100,72,1,99,i33_150.jpg,s,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,8.757999897,1,0,100,57,1,99,i26_150_R.jpg,d,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,6.272000074,1,0,100,10,1,99,i5_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,7.220000029,1,0,100,55,1,99,i25_150_R.jpg,d,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,19.33700013,1,0,100,46,1,99,i21_150_R.jpg,d,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,4.437000036,1,0,100,42,1,99,i19_150_R.jpg,d,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,5.605000019,1,0,100,3,1,99,i2_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,8.571000099,1,0,100,30,1,99,i14_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,6.203000069,1,0,100,14,1,99,i7_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,1.637000084,1,0,100,27,1,99,i13_50_R.jpg,d,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
d,1,7.436000109,1,0,100,50,1,99,i23_150_R.jpg,d,150,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,1.287999868,1,0,100,94,1,99,i44_0.jpg,s,0,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
s,1,2.921000004,1,0,100,51,1,99,i24_50.jpg,s,50,sd3067,001,2020-04-14_08h10.15.423,MentalRotationFinal,3.1.2,60
