trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,3.72300005,1,0,100,63,1,99,i29_50.jpg,s,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,5.387000084,1,0,100,87,1,99,i40_100_R.jpg,d,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,2.152999878,1,0,100,35,1,99,i16_150_R.jpg,d,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,5.370000124,1,0,100,49,1,99,i23_50.jpg,s,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,2.521000147,1,0,100,67,1,99,i31_100_R.jpg,d,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.24000001,1,0,100,0,1,99,i1_0.jpg,s,0,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,3.739000082,1,0,100,16,1,99,i8_50_R.jpg,d,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.888000011,1,0,100,83,1,99,i38_150.jpg,s,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,3.037000179,1,0,100,37,1,99,i17_150_R.jpg,d,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,3.571000099,1,0,100,59,1,99,i27_150_R.jpg,d,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.271000147,1,0,100,56,1,99,i26_50.jpg,s,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.222000122,1,0,100,53,1,99,i25_0.jpg,s,0,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,2.453999996,1,0,100,17,1,99,i8_100.jpg,s,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,2.188999891,1,0,100,68,1,99,i31_150.jpg,s,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,2.088000059,1,0,100,33,1,99,i15_150_R.jpg,d,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,3.421000004,1,0,100,98,1,99,i47_100.jpg,s,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,2.802999973,1,0,100,74,1,99,i34_150.jpg,s,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.921000004,1,0,100,45,1,99,i21_50.jpg,s,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.288000107,1,0,100,94,1,99,i44_0.jpg,s,0,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.489000082,1,0,100,75,1,99,i35_0.jpg,s,0,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,2.519999981,1,0,100,18,1,99,i9_0.jpg,s,0,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,1.352999926,1,0,100,50,1,99,i23_150_R.jpg,d,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,0.937000036,1,0,100,9,1,99,i5_0.jpg,s,0,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,1.103999853,1,0,100,27,1,99,i13_50_R.jpg,d,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,3.371999979,1,0,100,26,1,99,i12_100.jpg,s,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,2.838999987,1,0,100,41,1,99,i19_50.jpg,s,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,1.539000034,1,0,100,96,1,99,i45_100_R.jpg,d,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,1.720999956,1,0,100,48,1,99,i22_150_R.jpg,d,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,2.536000013,1,0,100,30,1,99,i14_50_R.jpg,d,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,3.671000004,1,0,100,19,1,99,i9_50_R.jpg,d,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,1.891000032,1,0,100,4,1,99,i2_100.jpg,s,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,0.986999989,1,0,100,85,1,99,i39_100_R.jpg,d,100,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,1.957000017,1,0,100,3,1,99,i2_50_R.jpg,d,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
d,1,2.307999849,1,0,100,1,1,99,i1_50_R.jpg,d,50,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
s,1,11.72099996,1,0,100,86,1,99,i39_150.jpg,s,150,seh542,001,2020-04-14_10h09.51.253,MentalRotationFinal,3.1.2,60
