trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,9.398000002,1,0,100,72,1,99,i33_150.jpg,s,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,2.101999998,1,0,100,62,1,99,i29_0.jpg,s,0,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,8.739000082,1,0,100,20,1,99,i9_100.jpg,s,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,6.822999954,1,0,100,38,1,99,i18_50.jpg,s,50,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,0,6.391000032,1,0,100,95,1,99,i44_100_R.jpg,d,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,1,8.520999908,1,0,100,52,1,99,i24_150_R.jpg,d,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,0,3.221999884,1,0,100,26,1,99,i12_100.jpg,s,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,1.620000124,1,0,100,84,1,99,i39_0.jpg,s,0,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,1.203000069,1,0,100,0,1,99,i1_0.jpg,s,0,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,0,6.123000145,1,0,100,24,1,99,i11_100.jpg,s,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,0,3.919999838,1,0,100,2,1,99,i1_100.jpg,s,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,0,8.957000017,1,0,100,33,1,99,i15_150_R.jpg,d,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,0,9.107000113,1,0,100,73,1,99,i34_100_R.jpg,d,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,1,3.507000208,1,0,100,42,1,99,i19_150_R.jpg,d,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,0,2.272000074,1,0,100,41,1,99,i19_50.jpg,s,50,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,6.006999969,1,0,100,88,1,99,i40_150.jpg,s,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,0,1.621999979,1,0,100,98,1,99,i47_100.jpg,s,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,1.653999805,1,0,100,40,1,99,i19_0.jpg,s,0,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,1,2.989000082,1,0,100,76,1,99,i35_100_R.jpg,d,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,0,10.99000001,1,0,100,91,1,99,i42_100_R.jpg,d,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,9.190999985,1,0,100,43,1,99,i20_50.jpg,s,50,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,10.227,1,0,100,11,1,99,i5_100.jpg,s,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,1,3.238999844,1,0,100,55,1,99,i25_150_R.jpg,d,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,1,2.888999939,1,0,100,49,1,99,i23_50.jpg,s,50,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,0,4.703999996,1,0,100,25,1,99,i12_50_R.jpg,d,50,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,0,6.923999786,1,0,100,67,1,99,i31_100_R.jpg,d,100,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
s,0,11.64199996,1,0,100,3,1,99,i2_50_R.jpg,d,50,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,0,3.640000105,1,0,100,61,1,99,i28_150.jpg,s,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
d,0,5.191000223,1,0,100,64,1,99,i29_150.jpg,s,150,si13,001,2019-10-16_10h08.40.421,MentalRotationFinal,3.1.2,60
