trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,7.828999996,1,0,100,62,1,99,i29_0.jpg,s,0,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,16.90400004,1,0,100,60,1,99,i28_50.jpg,s,50,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,23.16899991,1,0,100,42,1,99,i19_150_R.jpg,d,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,0,40.60700011,1,0,100,69,1,99,i32_100_R.jpg,d,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,25.42199993,1,0,100,61,1,99,i28_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,11.45300007,1,0,100,41,1,99,i19_50.jpg,s,50,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,9.308000088,1,0,100,52,1,99,i24_150_R.jpg,d,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,0,23.13800001,1,0,100,83,1,99,i38_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,8.855999947,1,0,100,91,1,99,i42_100_R.jpg,d,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,7.343000174,1,0,100,94,1,99,i44_0.jpg,s,0,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,0,29.39100003,1,0,100,68,1,99,i31_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,13.85899997,1,0,100,82,1,99,i38_100_R.jpg,d,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,6.041999817,1,0,100,59,1,99,i27_150_R.jpg,d,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,16.5769999,1,0,100,70,1,99,i32_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,16.773,1,0,100,86,1,99,i39_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,25.6730001,1,0,100,13,1,99,i6_100.jpg,s,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,0,21.85500002,1,0,100,67,1,99,i31_100_R.jpg,d,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,9.496999979,1,0,100,6,1,99,i3_100.jpg,s,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,24.14300013,1,0,100,50,1,99,i23_150_R.jpg,d,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,24.95299983,1,0,100,25,1,99,i12_50_R.jpg,d,50,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,16.17399979,1,0,100,79,1,99,i36_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,13.17599988,1,0,100,87,1,99,i40_100_R.jpg,d,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,16.80999994,1,0,100,14,1,99,i7_50_R.jpg,d,50,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,0,6.809999943,1,0,100,37,1,99,i17_150_R.jpg,d,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,11.80900002,1,0,100,40,1,99,i19_0.jpg,s,0,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,19.04299998,1,0,100,89,1,99,i41_100_R.jpg,d,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,21.47299981,1,0,100,78,1,99,i36_100_R.jpg,d,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,20.1099999,1,0,100,8,1,99,i4_100.jpg,s,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,7.546999931,1,0,100,24,1,99,i11_100.jpg,s,100,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,2.481999874,1,0,100,0,1,99,i1_0.jpg,s,0,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,19.04699993,1,0,100,88,1,99,i40_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,14.77999997,1,0,100,1,1,99,i1_50_R.jpg,d,50,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,14.27799988,1,0,100,16,1,99,i8_50_R.jpg,d,50,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,1.447000027,1,0,100,29,1,99,i14_0.jpg,s,0,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,0,10.81299996,1,0,100,72,1,99,i33_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
s,1,11.31299996,1,0,100,92,1,99,i42_150.jpg,s,150,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
d,1,10.61400008,1,0,100,30,1,99,i14_50_R.jpg,d,50,sr4333,001,2020-04-14_10h10.01.471,MentalRotationFinal,3.1.2,60
