trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,7.515000105,1,0,100,11,1,99,i5_100.jpg,s,100,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,6.701000214,1,0,100,21,1,99,i10_50_R.jpg,d,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
s,1,4.608999968,1,0,100,54,1,99,i25_50.jpg,s,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,3.970000029,1,0,100,19,1,99,i9_50_R.jpg,d,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,6.802999973,1,0,100,10,1,99,i5_50_R.jpg,d,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
s,1,6.169000149,1,0,100,61,1,99,i28_150.jpg,s,150,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
s,1,11.48000002,1,0,100,72,1,99,i33_150.jpg,s,150,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
s,1,2.304999828,1,0,100,38,1,99,i18_50.jpg,s,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,6.111000061,1,0,100,85,1,99,i39_100_R.jpg,d,100,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,8.085999966,1,0,100,1,1,99,i1_50_R.jpg,d,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,4.648000002,1,0,100,14,1,99,i7_50_R.jpg,d,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,14.55999994,1,0,100,7,1,99,i4_50_R.jpg,d,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
s,1,3.042999983,1,0,100,63,1,99,i29_50.jpg,s,50,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
d,1,6.888000011,1,0,100,82,1,99,i38_100_R.jpg,d,100,vnn214,001,2020-04-14_10h09.36.780,MentalRotationFinal,3.1.2,60
