trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,1.911000013,1,0,100,1,1,99,i1_50_R.jpg,d,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,0,2.519000053,1,0,100,28,1,99,i13_150_R.jpg,d,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
d,1,4.302999973,1,0,100,33,1,99,i15_150_R.jpg,d,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,2.868999958,1,0,100,36,1,99,i17_50.jpg,s,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,4.333999872,1,0,100,63,1,99,i29_50.jpg,s,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,3.43599987,1,0,100,92,1,99,i42_150.jpg,s,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
d,1,1.786999941,1,0,100,91,1,99,i42_100_R.jpg,d,100,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,2.670000076,1,0,100,61,1,99,i28_150.jpg,s,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,6.003999949,1,0,100,74,1,99,i34_150.jpg,s,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
d,1,1.718999863,1,0,100,27,1,99,i13_50_R.jpg,d,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,4.953999996,1,0,100,54,1,99,i25_50.jpg,s,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
d,1,2.603000164,1,0,100,48,1,99,i22_150_R.jpg,d,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
d,1,1.786999941,1,0,100,14,1,99,i7_50_R.jpg,d,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,2.335999966,1,0,100,51,1,99,i24_50.jpg,s,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
d,1,1.384000063,1,0,100,42,1,99,i19_150_R.jpg,d,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,1.736000061,1,0,100,60,1,99,i28_50.jpg,s,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
d,1,1.970999956,1,0,100,37,1,99,i17_150_R.jpg,d,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,0,4.687000036,1,0,100,39,1,99,i18_150_R.jpg,d,150,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,1.370999813,1,0,100,65,1,99,i30_50.jpg,s,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,1.236000061,1,0,100,84,1,99,i39_0.jpg,s,0,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,2.633999825,1,0,100,45,1,99,i21_50.jpg,s,50,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
s,1,2.820999861,1,0,100,11,1,99,i5_100.jpg,s,100,vt15,001,2019-10-16_10h06.53.044,MentalRotationFinal,3.1.2,60
