trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,11.20500016,1,0,100,46,1,99,i21_150_R.jpg,d,150,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,18.38199997,1,0,100,27,1,99,i13_50_R.jpg,d,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,18.2019999,1,0,100,21,1,99,i10_50_R.jpg,d,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,9.58100009,1,0,100,7,1,99,i4_50_R.jpg,d,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,32.85899997,1,0,100,69,1,99,i32_100_R.jpg,d,100,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,0,13.04500008,1,0,100,78,1,99,i36_100_R.jpg,d,100,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,0,16.25200009,1,0,100,59,1,99,i27_150_R.jpg,d,150,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,12.29699993,1,0,100,85,1,99,i39_100_R.jpg,d,100,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,1,5.582999945,1,0,100,84,1,99,i39_0.jpg,s,0,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,1,50.96099997,1,0,100,92,1,99,i42_150.jpg,s,150,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,1,10.68400002,1,0,100,4,1,99,i2_100.jpg,s,100,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,9.208999872,1,0,100,42,1,99,i19_150_R.jpg,d,150,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,1,7.447000027,1,0,100,54,1,99,i25_50.jpg,s,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,6.946000099,1,0,100,5,1,99,i3_50_R.jpg,d,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,7.444999933,1,0,100,82,1,99,i38_100_R.jpg,d,100,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,1,10.0999999,1,0,100,83,1,99,i38_150.jpg,s,150,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,0,10.34599996,1,0,100,56,1,99,i26_50.jpg,s,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,11.27900004,1,0,100,10,1,99,i5_50_R.jpg,d,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,1,13.21399999,1,0,100,38,1,99,i18_50.jpg,s,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,0,23.53600001,1,0,100,68,1,99,i31_150.jpg,s,150,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,27.32599998,1,0,100,91,1,99,i42_100_R.jpg,d,100,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
d,1,6.061000109,1,0,100,25,1,99,i12_50_R.jpg,d,50,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
s,1,4.144000053,1,0,100,53,1,99,i25_0.jpg,s,0,yc2345,001,2020-04-14_10h11.36.179,MentalRotationFinal,3.1.2,60
