trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,6.06400013,1,0,100,16,1,99,i8_50_R.jpg,d,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,5.95299983,1,0,100,45,1,99,i21_50.jpg,s,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,1.388999939,1,0,100,40,1,99,i19_0.jpg,s,0,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,4.572000027,1,0,100,34,1,99,i16_50.jpg,s,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,2.589999914,1,0,100,63,1,99,i29_50.jpg,s,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,1.106000185,1,0,100,62,1,99,i29_0.jpg,s,0,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,4.021999836,1,0,100,90,1,99,i41_150.jpg,s,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,9.74000001,1,0,100,81,1,99,i37_150.jpg,s,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,2.287999868,1,0,100,49,1,99,i23_50.jpg,s,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,6.154999971,1,0,100,87,1,99,i40_100_R.jpg,d,100,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,2.188999891,1,0,100,65,1,99,i30_50.jpg,s,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,7.119999886,1,0,100,72,1,99,i33_150.jpg,s,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,2.424000025,1,0,100,51,1,99,i24_50.jpg,s,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,8.60800004,1,0,100,79,1,99,i36_150.jpg,s,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,4.74000001,1,0,100,57,1,99,i26_150_R.jpg,d,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,2.422999859,1,0,100,20,1,99,i9_100.jpg,s,100,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,6.058000088,1,0,100,92,1,99,i42_150.jpg,s,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,6.690000057,1,0,100,52,1,99,i24_150_R.jpg,d,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,3.690000057,1,0,100,10,1,99,i5_50_R.jpg,d,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,3.223999977,1,0,100,31,1,99,i14_150_R.jpg,d,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,5.438999891,1,0,100,33,1,99,i15_150_R.jpg,d,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,1.905999899,1,0,100,75,1,99,i35_0.jpg,s,0,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,4.675000191,1,0,100,66,1,99,i30_150.jpg,s,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,9.786000013,1,0,100,36,1,99,i17_50.jpg,s,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,4.690999985,1,0,100,14,1,99,i7_50_R.jpg,d,50,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,10.45599985,1,0,100,37,1,99,i17_150_R.jpg,d,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,27.53999996,1,0,100,88,1,99,i40_150.jpg,s,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,9.59100008,1,0,100,96,1,99,i45_100_R.jpg,d,100,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,6.10800004,1,0,100,69,1,99,i32_100_R.jpg,d,100,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,1.753999949,1,0,100,53,1,99,i25_0.jpg,s,0,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
s,1,1.092000008,1,0,100,29,1,99,i14_0.jpg,s,0,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,2.906999826,1,0,100,67,1,99,i31_100_R.jpg,d,100,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,2.757999897,1,0,100,85,1,99,i39_100_R.jpg,d,100,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,12.24000001,1,0,100,55,1,99,i25_150_R.jpg,d,150,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
d,1,5.308000088,1,0,100,71,1,99,i33_100_R.jpg,d,100,zw1247,001,2020-04-14_10h09.31.717,MentalRotationFinal,3.1.2,60
