trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,3.346999884,1,0,100,71,1,99,i33_100_R.jpg,d,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,5.157999992,1,0,100,75,1,99,i35_0.jpg,s,0,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,0,7.399999857,1,0,100,30,1,99,i14_50_R.jpg,d,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,8.227999926,1,0,100,98,1,99,i47_100.jpg,s,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,3.480000019,1,0,100,13,1,99,i6_100.jpg,s,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,2.097999811,1,0,100,19,1,99,i9_50_R.jpg,d,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,5.796999931,1,0,100,48,1,99,i22_150_R.jpg,d,150,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,2.746999979,1,0,100,60,1,99,i28_50.jpg,s,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,1.995999813,1,0,100,9,1,99,i5_0.jpg,s,0,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,1.517999887,1,0,100,0,1,99,i1_0.jpg,s,0,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,1.51699996,1,0,100,84,1,99,i39_0.jpg,s,0,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,3.098999977,1,0,100,80,1,99,i37_100_R.jpg,d,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,3.515999794,1,0,100,17,1,99,i8_100.jpg,s,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,3.644999981,1,0,100,74,1,99,i34_150.jpg,s,150,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,2.976000071,1,0,100,51,1,99,i24_50.jpg,s,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,2.731999874,1,0,100,15,1,99,i7_100.jpg,s,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,2.996999979,1,0,100,61,1,99,i28_150.jpg,s,150,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,4.765000105,1,0,100,96,1,99,i45_100_R.jpg,d,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,4.75999999,1,0,100,10,1,99,i5_50_R.jpg,d,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,5.095999956,1,0,100,68,1,99,i31_150.jpg,s,150,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,5.048000097,1,0,100,93,1,99,i43_100_R.jpg,d,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,4.031000137,1,0,100,58,1,99,i27_50.jpg,s,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,5.32799983,1,0,100,77,1,99,i35_150.jpg,s,150,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,2.011000156,1,0,100,14,1,99,i7_50_R.jpg,d,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
d,1,6.213000059,1,0,100,52,1,99,i24_150_R.jpg,d,150,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,2.226999998,1,0,100,26,1,99,i12_100.jpg,s,100,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,4.003000021,1,0,100,92,1,99,i42_150.jpg,s,150,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
s,1,4.75999999,1,0,100,45,1,99,i21_50.jpg,s,50,j98,001,2019-10-16_10h06.41.102,MentalRotationFinal,3.1.2,60
