trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,3.907000065,1,0,100,54,1,99,i25_50.jpg,s,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,14.26499987,1,0,100,68,1,99,i31_150.jpg,s,150,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
d,1,3.600000143,1,0,100,14,1,99,i7_50_R.jpg,d,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,5.299999952,1,0,100,64,1,99,i29_150.jpg,s,150,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
d,1,11.23399997,1,0,100,7,1,99,i4_50_R.jpg,d,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,10.43400002,1,0,100,90,1,99,i41_150.jpg,s,150,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
d,1,6.052000046,1,0,100,95,1,99,i44_100_R.jpg,d,100,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,4.368999958,1,0,100,65,1,99,i30_50.jpg,s,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,4.768000126,1,0,100,2,1,99,i1_100.jpg,s,100,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,9.046000004,1,0,100,63,1,99,i29_50.jpg,s,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,6.90199995,1,0,100,58,1,99,i27_50.jpg,s,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
d,1,2.335000038,1,0,100,48,1,99,i22_150_R.jpg,d,150,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,2.582000017,1,0,100,38,1,99,i18_50.jpg,s,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
d,1,6.382000208,1,0,100,16,1,99,i8_50_R.jpg,d,50,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
s,1,3.552000046,1,0,100,84,1,99,i39_0.jpg,s,0,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
d,1,5.486999989,1,0,100,28,1,99,i13_150_R.jpg,d,150,nd24,001,2019-10-16_10h07.00.120,MentalRotationFinal,3.1.2,60
